,Interactor A,Interactor B
0,P56945,"['P49023', 'P63104', 'Q9BRT9', 'Q7KZF4', 'Q13177', 'Q92743', 'Q92783', 'P27361', 'P63000', 'O60568', 'Q96PU8', 'P40763', 'Q8IYB8', 'P49753', 'P55072', 'P49257', 'Q9UQ80', 'P11940', 'P12931', 'P07948', 'P00519', 'Q8TC71', 'P42345', 'Q14694', 'P50851', 'Q96BY7', 'P07900', 'Q5BJD5', 'P10253', 'P61006', 'P09429', 'P03372', 'Q99816', 'Q9P2Y5', 'P27695', 'Q9NQ88', 'Q9HD42', 'Q9H270', 'Q9Y6I9', 'Q96JC1', 'Q96B97', 'Q9UL18', 'Q01968', 'Q01433', 'P07196', 'Q9H4H8', 'Q5TDH0', 'P07814', 'O00584', 'P42858', 'P46108', 'P16333', 'P27986', 'P53350', 'O75807', 'P55036', 'P62495', 'Q9UKV8', 'P49757', 'P00533', 'P27797', 'P04908', 'Q00987', 'Q16595', 'P05387', 'P49841', 'Q9UJY5', 'P62328', 'Q9Y613', 'P08631', 'P78362', 'Q86UE8', 'P07237', 'Q9HD26', 'P02533', 'O60885', 'Q04637', 'Q92900', 'Q00169', 'P04083', 'Q96RF0', 'P06239', 'Q07912', 'P40855', 'P24928', 'P04626', 'P62826', 'O14936', 'P41208', 'Q8WXE9', 'P05067', 'Q9HCJ0', 'Q13188', 'P49005', 'P06454', 'Q15004', 'Q15910', 'Q05397', 'Q8N5H7', 'Q9Y6I3', 'Q02363', 'O95071', 'Q07157', 'Q92608', 'P18615', 'Q7L2J0', 'P06756', 'O00299', 'Q14258']"
1,Q03135,"['P63000', 'Q13480', 'P55072', 'P60484', 'Q07820', 'P27361', 'Q92783', 'O60493', 'Q13137', 'P49257', 'P12931', 'P51149', 'Q13501', 'P61019', 'P00519', 'Q00610', 'O15118', 'O14964', 'P14416', 'O94817', 'P13473', 'O95721', 'O75886', 'P50851', 'P07900', 'Q8TEV9', 'P42338', 'Q86Y82', 'Q7KZI7', 'Q14596', 'Q8WUX9', 'P07948', 'P03372', 'P13569', 'Q99623', 'Q9UBN7', 'P01112', 'Q9BZV1', 'P63027', 'Q9Y263', 'Q9ULC3', 'Q9NSV4', 'O95405', 'Q9H0E2', 'A6NCE7', 'Q9UEU0', 'Q9GZQ8', 'P35611', 'P27694', 'Q9BV40', 'Q9H444', 'P35612', 'Q92731', 'Q9H1Y0', 'P37837', 'P60709', 'P47895', 'P61956', 'P28482', 'Q13613', 'Q92597', 'Q96QZ7', 'P24588', 'Q13635', 'P41743', 'P01116', 'P55011', 'Q13586', 'Q9H9E3', 'P00533', 'P10275', 'P37231', 'P35222', 'P62328', 'Q13148', 'Q969F2', 'O96013', 'O15169', 'O60356', 'P46531', 'F7VJQ1', 'P27986', 'P49757', 'P80723', 'P78504', 'P25054', 'Q9UBT2', 'Q16647', 'P13693', 'P36894', 'P13861', 'P51617', 'Q9H8Y8', 'Q7RTP6', 'Q15843', 'Q9HD26', 'O60885', 'P05067', 'P04626', 'P55957', 'Q15796', 'P52799', 'O14936', 'P08235', 'P37173', 'P05556', 'Q9UBU9', 'P61073', 'P15927', 'Q96AC1', 'P50750', 'Q14118', 'O95835', 'P49327', 'Q8N5H7', 'Q8IVH8', 'O75962', 'Q13363', 'P06756', 'Q658P3', 'Q96RD7', 'Q8WVQ1', 'P61587', 'P62330', 'O00308', 'P29317', 'Q6R327']"
2,P68104,"['Q9HAV4', 'P63104', 'Q9UQ35', 'P11940', 'P07550', 'Q15013', 'P10619', 'O60568', 'Q01484', 'P36952', 'P56524', 'P63000', 'P11142', 'P51149', 'Q96AJ9', 'Q15831', 'Q8TEV9', 'Q5S007', 'P61019', 'O95166', 'P07900', 'Q5BJD5', 'P60520', 'P20073', 'Q86VP1', 'P16144', 'P04637', 'Q13315', 'P10909', 'P54725', 'Q92731', 'P04049', 'Q9NRR5', 'Q9BXM7', 'P13569', 'Q9GZQ8', 'Q9H492', 'P27694', 'P38936', 'P03372', 'Q96RL7', 'P27695', 'P50440', 'Q9HCE7', 'P37840', 'P10451', 'P14859', 'P05455', 'Q07817', 'Q9H0R8', 'Q9Y4K3', 'Q9UBN7', 'P61956', 'P14868', 'P60709', 'P01116', 'Q8NFJ9', 'O95433', 'Q15233', 'P01111', 'Q96RK4', 'Q9UL18', 'Q8N6T7', 'P54577', 'P49748', 'Q99714', 'Q00266', 'Q00987', 'Q13573', 'P24522', 'P49841', 'P00533', 'P35637', 'P09651', 'Q9NZ94', 'Q13625', 'P46937', 'Q13485', 'P43351', 'P04908', 'O43464', 'P27708', 'Q09472', 'P62328', 'Q9UBT2', 'O15169', 'P42568', 'Q9UKV8', 'P46108', 'Q14061', 'Q9NX55', 'Q13148', 'Q9BQ15', 'Q49AN0', 'P25054', 'P13693', 'Q15843', 'P42226', 'P83731', 'Q9H8Y8', 'Q92905', 'P35520', 'P63165', 'P38919', 'Q8IYB3', 'Q15583', 'P49736', 'P24385', 'P04183', 'Q9Y6K9', 'P0DMV9', 'P36894', 'Q92793', 'O60885', 'Q12905', 'P15927', 'P50750', 'P36578', 'O60828', 'P62877', 'Q9UBU9', 'P09012', 'O95718', 'Q15004', 'Q9NR28', 'O60829', 'P05386', 'Q16543', 'Q9Y6H6', 'P01137', 'O14713', 'P24928', 'Q15796', 'P78560', 'Q9UMR2', 'P05556', 'P06748', 'Q92499', 'O15344', 'Q13617', 'Q9Y2Z0', 'Q14258', 'Q13363', 'Q9Y6I3', 'Q9BXJ9', 'Q9H3M7', 'P07355', 'Q9BYG3', 'O95071', 'Q7L2J0', 'P41227', 'O14965', 'P26368', 'P61587']"
