,Uniprot IDs,Gene,Enriched
177,Q9NQB0,['TCF7L2'],[False]
178,P18827,['SDC1'],[False]
179,P28300,['LOX'],[False]
180,Q9BRZ2,['TRIM56'],[False]
181,P80192,['MAP3K9'],[False]
182,P06748,['NPM1'],[False]
183,Q6GQQ9,['OTUD7B'],[False]
184,P15311,['EZR'],[False]
185,P14859,['POU2F1'],[False]
186,Q12834,['CDC20'],[False]
187,Q9UGL1,['KDM5B'],[False]
188,O00585,['CCL21'],[False]
189,P45985,['MAP2K4'],[False]
190,Q9UBB5,['MBD2'],[False]
191,P0DP23,['CALM1'],[False]
192,Q9Y6K1,['DNMT3A'],[False]
193,O00308,['WWP2'],[False]
194,P13693,['TPT1'],[False]
195,Q7RTN6,['STRADA'],[False]
196,O14686,['KMT2D'],[False]
197,P51449,['RORC'],[False]
198,O60934,['NBN'],[False]
199,Q06609,['RAD51'],[False]
200,Q99835,['SMO'],[False]
201,P15498,['VAV1'],[False]
202,P38919,['EIF4A3'],[False]
203,P17181,['IFNAR1'],[False]
204,P55957,['BID'],[False]
205,Q92905,['COPS5'],[False]
206,Q96AE4,['FUBP1'],[False]
207,Q13480,['GAB1'],[False]
208,O14672,['ADAM10'],[False]
209,Q13740,['ALCAM'],[False]
210,P36955,['SERPINF1'],[False]
211,P18564,['ITGB6'],[False]
212,Q9Y2Z0,['SUGT1'],[False]
213,P38398,['BRCA1'],[False]
214,P49765,['VEGFB'],[False]
215,P52564,['MAP2K6'],[False]
216,Q92945,['KHSRP'],[False]
217,P13647,['KRT5'],[False]
218,P16471,['PRLR'],[False]
219,Q9NYV4,['CDK12'],[False]
220,P24522,['GADD45A'],[False]
221,O43318,['MAP3K7'],[False]
222,P78504,['JAG1'],[False]
223,Q9NQC7,['CYLD'],[False]
224,P51671,['CCL11'],[False]
225,Q13526,['PIN1'],[False]
226,P28827,['SHH'],[False]
227,Q9Y6Q9,['NCOA3'],[False]
228,Q16576,['RBBP7'],[False]
229,Q9UQC2,['GAB2'],[False]
230,O95997,['PTTG1'],[False]
231,Q13617,['CUL2'],[False]
232,Q05193,['DNM1'],[False]
233,P18065,['IGFBP2'],[False]
234,Q03518,['TAP1'],[False]
235,Q9Y4K0,['LOXL2'],[False]
236,P11309,['PIM1'],[False]
237,O95644,['NFATC1'],[False]
238,P20591,['MX1'],[False]
239,Q9UL18,['AGO1'],[False]
240,Q2M1P5,['KIF7'],[False]
241,P01130,['LDLR'],[False]
242,Q02548,['PAX5'],[False]
243,P05121,['SERPINE1'],[False]
244,Q9Y2M5,['KLHL20'],[False]
245,O14727,['APAF1'],[False]
246,Q9Y653,['ADGRG1'],[False]
247,Q96FQ6,['S100A16'],[False]
248,P49023,['PXN'],[False]
249,O15550,['KDM6A'],[False]
250,P08514,['ITGA2B'],[False]
251,Q13451,['FKBP5'],[False]
252,P10071,['GLI3'],[False]
253,O94907,['DKK1'],[False]
254,P55285,['CDH6'],[False]
255,P51513,['NOVA1'],[False]
256,P49736,['MCM2'],[False]
257,O96017,['CHEK2'],[False]
258,Q99986,['VRK1'],[False]
259,P51617,['IRAK1'],[False]
260,Q15059,['BRD3'],[False]
261,P36578,['RPL4'],[False]
262,O00571,['DDX3X'],[False]
263,Q92854,['SEMA4D'],[False]
264,O14733,['MAP2K7'],[False]
265,Q96PU8,['QKI'],[False]
266,P48443,['RXRG'],[False]
267,P02533,['KRT14'],[False]
268,Q07889,['SOS1'],[False]
269,P13010,['XRCC5'],[False]
270,P05546,['SERPIND1'],[False]
271,Q9NQS7,['INCENP'],[False]
272,P05556,['ITGB1'],[False]
273,P35813,['PPM1A'],[False]
274,P24864,['CCNE1'],[False]
275,P14598,['NCF1'],[False]
276,Q15582,['TGFBI'],[False]
277,P05386,['RPLP1'],[False]
278,P01127,['PDGFB'],[False]
279,P00441,['SOD1'],[False]
280,Q9UJX6,['ANAPC2'],[False]
281,O96013,['PAK4'],[False]
282,Q13625,['TP53BP2'],[False]
283,P49427,['CDC34'],[False]
284,Q13363,['CTBP1'],[False]
285,Q9UIF9,['BAZ2A'],[False]
286,Q15004,['PCLAF'],[False]
287,Q12905,['ILF2'],[False]
288,Q13838,['DDX39B'],[False]
289,Q14995,['NR1D2'],[False]
290,O15344,['MID1'],[False]
291,P27635,['RPL10'],[False]
292,Q9H5I1,['SUV39H2'],[False]
293,P14678,['SNRPB'],[False]
294,P01019,['AGT'],[False]
295,Q9H3M7,['TXNIP'],[False]
296,Q13635,['PTCH1'],[False]
297,Q9UBT2,['UBA2'],[False]
298,Q9NR61,['DLL4'],[False]
299,O76070,['SNCG'],[False]
300,O75962,['TRIO'],[False]
301,Q4LE39,['ARID4B'],[False]
302,P49327,['FASN'],[False]
303,P43026,['GDF5'],[False]
304,Q07666,['KHDRBS1'],[False]
305,Q96AC1,['FERMT2'],[False]
306,Q92837,['FRAT1'],[False]
307,Q96MS0,['ROBO3'],[False]
