,GO terms,Common Intersections
117,GO:0043161,['OGT']
118,GO:0051246,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
119,GO:1901575,"['OGT', 'CDKN2A']"
120,GO:0097190,"['ABL1', 'DAPL1']"
121,HP:0000739,"['MAPT', 'CDKN2A']"
122,GO:0044237,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
123,GO:0080134,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'CDKN2A']"
124,GO:0022411,"['CDKN2A', 'OGT']"
125,GO:0006955,"['RTN4', 'ABL1']"
126,GO:0009895,"['CDKN2A', 'EIF4G1', 'OGT', 'DAPL1']"
127,GO:0009889,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
128,GO:0030162,"['MAPT', 'CDKN2A', 'OGT']"
129,GO:0010959,['ABL1']
130,GO:0042770,"['ABL1', 'CDKN2A']"
131,GO:0010906,['OGT']
132,GO:0034655,"['OGT', 'CDKN2A']"
133,GO:0007167,"['RTN4', 'ABL1', 'OGT']"
134,GO:1901362,"['ABL1', 'OGT', 'CDKN2A']"
135,GO:0031329,"['EIF4G1', 'ABL1', 'OGT', 'MAPT', 'CDKN2A', 'DAPL1']"
136,GO:0051251,['ABL1']
137,GO:0043005,"['RTN4', 'MAPT', 'ABL1']"
138,GO:0006873,['ABL1']
139,HPA:0340000,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
140,GO:0006511,"['OGT', 'CDKN2A']"
141,GO:0031323,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
142,HPA:0510000,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'OGT']"
143,GO:0045732,[]
144,GO:0043523,['ABL1']
145,HPA:0330000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
146,GO:0044325,[]
147,GO:0034644,[]
148,GO:2000145,"['RTN4', 'ABL1', 'OGT']"
149,GO:0051219,['ABL1']
150,GO:0001667,"['RTN4', 'ABL1']"
151,GO:0043069,['ABL1']
152,GO:0061695,[]
153,GO:0042391,"['ABL1', 'MAPT']"
154,GO:0010494,['EIF4G1']
155,GO:0032434,['OGT']
156,GO:0005829,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
157,GO:0035591,[]
158,GO:0043687,"['ABL1', 'CDKN2A', 'OGT']"
159,GO:1902903,"['ABL1', 'MAPT']"
160,KEGG:04910,[]
161,HPA:0360051,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
162,GO:0006816,['ABL1']
163,GO:0046914,['ABL1']
164,GO:0051130,"['MAPT', 'ABL1', 'EIF4G1']"
165,GO:0005819,[]
166,GO:0022402,"['CDKN2A', 'EIF4G1']"
167,GO:1902911,[]
168,GO:0002252,"['RTN4', 'ABL1']"
169,GO:0090398,"['ABL1', 'CDKN2A']"
170,REAC:R-HSA-5663202,[]
171,GO:0046649,"['ABL1', 'CDKN2A', 'DAPL1']"
172,GO:0098794,"['RTN4', 'ABL1', 'EIF4G1', 'MAPT']"
173,GO:1902494,['OGT']
174,GO:0051128,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
175,GO:0090132,"['RTN4', 'ABL1']"
176,GO:0008270,[]
177,GO:0051222,[]
178,GO:0051348,"['ABL1', 'CDKN2A', 'MAPT']"
179,GO:0016477,"['RTN4', 'ABL1', 'OGT']"
180,GO:0043603,"['RTN4', 'OGT', 'EIF4G1', 'DAPL1']"
181,GO:0033554,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'CDKN2A', 'DAPL1']"
182,GO:0031325,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
183,GO:0051051,[]
184,GO:0030554,"['ABL1', 'EIF4G1']"
