acc
P49913
P27695
P0DMM9
P0DN86
P38936
P49918
P46527
P14061
Q13541
P04150
P10912
P17096
P27694
P19793
P63027
Q8WZ42
P04818
P03372
P11387
P01100
Q92731
P61244
Q04206
Q14722
P50440
P10163
P01730
P22531
Q06787
P12272
O95405
Q13426
P01112
P54725
O75324
P19429
Q9NVS9
P04049
O00273
Q9NQB0
Q9Y5B0
P11473
P20810
P20963
P10451
O60927
P14635
P05455
Q14449
P14859
P02686
P38398
P35611
P35612
P23025
Q16665
Q04656
P31751
Q07108
P51946
P06132
P00533
P62495
P24071
Q9UJY5
O15350
P05121
Q9UM07
P11309
O75469
P09651
O14832
P21815
P27797
Q00987
P16442
Q9Y6Q9
Q99967
P62328
Q15185
Q16222
Q15382
Q9NR00
P08047
P35869
Q09161
P52298
O00204
P78504
Q96T21
P53350
P43351
Q14191
P02511
Q9Y613
Q13485
P04156
P25963
P50542
Q49AN0
Q9UBE0
Q9UBT2
P10275
P04234
P07766
P09693
P30273
P52179
P25054
Q969F2
O95997
O43236
P51608
Q14061
Q9NX55
O00488
P16860
Q9NZ94
Q16143
P49354
P63098
P09132
P11233
P48539
Q16595
Q13573
P30291
P02788
P60896
P00736
P15309
O76070
P51671
P00441
P32004
Q29983
Q92886
P11171
Q99801
Q8N488
Q9Y258
P46937
P24522
Q15517
Q9UER7
Q9Y3M2
Q9UGL1
P02545
P37231
Q13569
Q9UKV8
P01160
P46108
Q9BSY4
O00585
P15311
P05387
P50616
P15382
O15273
P41236
Q16186
O14733
O60888
Q9BQ15
Q6P3W2
Q9H981
P21246
P08240
O75496
P47813
Q9HB71-2
P41567
Q8N4Q1
P21583
Q9BQB4
P80723
P61925
Q12972
Q93009
Q9HAU5
P17677
Q9H832
O15169
P52630
P42224
Q02548
P46108-2
Q01101
P27708
Q76LA1
Q9Y6C2
Q9NQI0
Q9NQI0-2
Q9UBB5
P42568
P61244-2
Q16222-2
O00204-2
P10636-8
P35637
Q13698
P46531
P16471
Q13148
P22626
P27986
P16333
Q03164
O60566
Q12834
P35222
P24864
P43403
Q9Y261
O43806
P49757
O14558
Q00987-11
P10071
Q6FI81
P07305
P04908
P06899
A6NF83
Q9UMS4
Q96SD1
O14974
Q13625
Q9HAN9
P02730
O00268
P42768
O43516
Q15726
O43474
Q14978
O96013
P55036
Q15797
O43312
Q9UMZ1
P55735
P20591
Q9UJX2
P19634
O76074
O95292
P61073
P01137
P05386
P12956
P13010
P41208
P49848
Q9H816
Q8NG31
Q15691
Q6VMQ6
Q68DK7
Q8N5Y2
P05067
Q16576
P24928
O43313
P49768
Q13542
O14519
Q03518
O60828
P50750
Q8WUP2
Q6NUK1
Q9UMX1
O60741
Q15796
Q9HCJ0
O43236-6
Q8IV16
P28324
O94907
Q96B02
P52564
Q13469
Q9UNL4
P15927
Q8WXE9
P01130
P45985
Q92913
Q16543
Q15004
P06400
Q01094
P31431
O60829
O14936
P14921
Q9UJX4
P30260
P30281
Q15637
Q9UKT4
Q9UBU9
Q13042
Q8NHZ8
P60006
Q96DE5
Q01081
Q92973
