,Interactor A,Interactor B
10,Q9H1Y0,"['Q13153', 'Q15717', 'Q13625', 'P62805', 'P07237', 'P42858', 'Q15843', 'Q14457', 'Q06787', 'Q9UQ80', 'Q03518', 'Q676U5', 'P40763', 'Q8TDY2', 'P55072', 'Q9NQC7', 'P42224', 'Q9NT62', 'P01106', 'Q07817', 'P02545', 'P06702', 'O15392', 'P37840', 'Q13501', 'Q96CV9', 'Q07157', 'Q9BXW4']"
11,Q14457,"['Q9Y371', 'Q15831', 'Q14694', 'P09429', 'P54252', 'O00499', 'Q9Y4K3', 'P52564', 'Q00534', 'Q92574', 'Q9NQC7', 'P07900', 'Q93009', 'A1A4Y4', 'Q6GQQ9', 'Q15796', 'Q9BSB4', 'P53355', 'O15151', 'Q8TDY2', 'Q07820', 'Q9H1Y0', 'P54725', 'P04637', 'Q9C0C7', 'P54578', 'Q16611', 'Q99570', 'O94817', 'O15392', 'O75385', 'P08670', 'Q96DA2', 'Q562E7', 'P04049', 'P0DMV9', 'P10415', 'P42704', 'Q04206', 'Q96GC9', 'P29317', 'P00533', 'Q14457', 'Q9HD36', 'O75143', 'Q9NX55', 'P42858', 'Q13501', 'Q6ZNE5', 'P21580', 'P10275', 'Q9P2Y5', 'P05109', 'P31749', 'Q07817', 'Q96F24', 'P38398', 'P42345', 'Q13131', 'Q8NEB9', 'Q5MNZ9', 'Q15717', 'Q676U5', 'Q13625', 'Q92622', 'P04626', 'P62877', 'Q14964']"
12,Q9Y371,"['Q14457', 'P61956', 'Q96B97', 'Q07812', 'P54578', 'Q13617', 'O00499', 'P27797', 'Q13501', 'Q9H8Y8', 'Q8NEB9', 'P24522']"
13,Q8IYT8,"['P21333', 'O75143', 'P54646', 'P53350', 'Q13131', 'Q9BSB4', 'Q9Y4P8', 'P27361', 'Q92973', 'P60520', 'Q8TDY2', 'Q8IYT8']"
14,Q9GZQ8,"['Q13043', 'P09038', 'P62826', 'P02533', 'P07237', 'Q9H8Y8', 'P42858', 'P05106', 'Q14318', 'Q13501', 'Q99623', 'Q96CV9', 'Q9C0C7', 'Q12905', 'P04637', 'Q15185', 'P46379', 'Q15382', 'P06748', 'Q03518', 'Q96RF0', 'Q15717', 'P09651', 'Q07955', 'P40337', 'P08253', 'P41743', 'Q14978', 'O75962', 'Q7KZF4', 'Q9NT62', 'P37840', 'P49427', 'O95429', 'P14678', 'P29590', 'P68363', 'P13647', 'P42224', 'P07550', 'Q92900', 'Q10589', 'Q96IZ0', 'Q8WZ42', 'P54578', 'Q9Y4P1', 'P12931', 'O00571', 'P24385', 'P52272', 'Q92499', 'Q2TAZ0', 'P07355', 'Q12983', 'P08670', 'P22626', 'O00268', 'Q7Z3C6', 'Q99714', 'Q00534', 'Q676U5', 'P0DMV9', 'Q8TDY2', 'Q9UER7', 'P55072', 'P05067', 'P49327', 'Q08188', 'P35222', 'P49757', 'Q07866', 'Q13137', 'P14635']"
15,Q9H0R8,"['P27797', 'P63241', 'P14678', 'Q9NT62', 'P04083', 'Q2TAZ0', 'P11940', 'Q8TDY2', 'P07355', 'P08670', 'Q9UKV8', 'P15311', 'P49327', 'P63104', 'Q96CV9', 'P09651', 'Q13137', 'O95197', 'Q9UL18', 'Q13501', 'P27695', 'Q15717', 'P04626', 'Q9Y4P1', 'P05455', 'Q01484']"
16,P42858,"['P55072', 'O94817', 'Q9GZQ8', 'Q9UHD9', 'Q9UMX0', 'Q9H492', 'Q9H1Y0', 'P07900', 'P09429', 'Q13501', 'Q96CV9', 'P04637', 'O75385', 'P50570', 'Q00610', 'Q14596', 'O14964', 'Q8IZQ1', 'Q14457', 'P11142', 'P13473', 'P27361', 'Q9Y4K3', 'P54257', 'Q676U5', 'P42345']"
17,P51149,"['Q99623', 'P01116', 'Q00987', 'Q15382', 'P60484', 'P46531', 'P20340', 'P01112', 'P55072', 'Q13137', 'P02545', 'P02649', 'P00533', 'P50402', 'P07355', 'P62330', 'Q9Y3D6', 'Q13501', 'P01106', 'Q96CV9', 'O43312', 'P04637', 'P03372', 'P13569', 'P60709', 'P63000', 'P35637', 'O15118', 'Q96B97']"
18,Q9UHD9,"['Q13526', 'Q9NRR5', 'P55072', 'P42858', 'Q15843', 'Q13137', 'Q9UHD9', 'O75886', 'Q9UMX0', 'Q9H0E2', 'Q92995', 'P55036', 'P54725', 'P07900', 'P06748', 'P42704', 'Q13501', 'P50148', 'P09651', 'Q14596', 'P98170', 'O14964', 'P13693', 'Q9BXM7', 'Q9C035', 'Q9NQC7', 'Q9UHD2', 'Q9Y6K9', 'Q86VP1', 'O00571', 'Q13049', 'P46937', 'Q16186', 'Q15726', 'Q9Y263', 'P07355', 'P22626', 'Q92783', 'P11142', 'O43521', 'P0DMV9', 'Q9Y6I3', 'Q5TDH0', 'Q13148']"
19,Q8IZQ1,"['Q9BXW4', 'P42858', 'Q13501', 'Q676U5']"
20,Q9BXW4,"['Q8IZQ1', 'Q9Y4P1', 'O95352', 'Q99570', 'P56962', 'Q9NT62', 'Q3MII6', 'Q96CV9', 'Q676U5', 'P60520', 'O95166', 'Q8TDY2', 'Q6ZNE9', 'O75143', 'Q13137', 'Q96A56', 'Q13501', 'Q14596', 'Q562E7', 'Q9BSB4', 'O75385', 'Q9BXW4', 'P05106', 'Q8NEB9', 'Q9H1Y0']"
