GO terms,Common Intersections
HPA:0210052,"['TOLLIP', 'ABL1', 'SQSTM1', 'BECN1', 'UBXN6', 'UBQLN2', 'LGALS8', 'NPC1', 'TRAPPC4', 'CHMP3', 'CISD2', 'STAM', 'ATG3', 'PHB2', 'HMGB1', 'ULK2', 'BNIP3', 'BCL2', 'STX17', 'CALCOCO2', 'MAPK3', 'OPTN', 'VCP', 'VPS36', 'ARSB', 'UBA5', 'PEX5']"
GO:0043066,"['FOXO1', 'PRKN', 'AMBRA1', 'ABL1', 'PHB2', 'TP53', 'BECN1', 'PSEN1', 'SRC', 'RB1CC1', 'BNIP3', 'MTOR', 'BCL2', 'NPC1']"
GO:0042594,"['FOXO1', 'MAPK3', 'AMBRA1', 'CLEC16A', 'BECN1', 'TP53', 'MAP1LC3C', 'ULK2', 'BCL2', 'MTOR', 'DAP', 'PIK3C3']"
GO:0030141,"['TOLLIP', 'STING1', 'HMGB1', 'PSEN1', 'VCP', 'ARSB', 'S100A9']"
GO:0009605,"['TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9', 'LGALS8', 'CHMP3', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'BNIP3', 'BCL2', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'ATG16L1']"
GO:0042981,"['AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9', 'NPC1', 'FOXO1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'INHBA', 'BNIP3', 'BCL2', 'PRKN', 'VCP', 'RB1CC1', 'MTOR']"
GO:0005794,"['ATG9A', 'STING1', 'PRKN', 'MAPK3', 'OPTN', 'CLEC16A', 'LYN', 'BECN1', 'AP4M1', 'PSEN1', 'NPC1', 'MCOLN1', 'MTOR', 'UBA5', 'PEX5', 'TRAPPC4']"
GO:0060627,"['PRKN', 'MAPK3', 'ABL1', 'HMGB1', 'LYN', 'PSEN1', 'SRC', 'UBQLN2', 'SNF8', 'STAM', 'ATG3', 'CHMP3']"
GO:0051651,"['ABL1', 'LYN', 'PSEN1', 'MCOLN1', 'S100A9']"
GO:0034976,"['PRKN', 'UBA5', 'ABL1', 'TP53', 'VCP', 'UBXN6', 'NOD1', 'BCL2']"
GO:0140694,"['CHMP3', 'SQSTM1', 'SRC']"
GO:0009725,"['FOXO1', 'MAPK3', 'PHB2', 'LYN', 'SRC', 'OGT', 'INHBA', 'BCL2', 'MTOR', 'ARSB', 'UBA5', 'PIP4K2B', 'NPC1']"
GO:0002831,"['MAPK3', 'STING1', 'HMGB1', 'SQSTM1', 'PHB2', 'OPTN', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9']"
GO:0009894,"['AMBRA1', 'ABL1', 'SQSTM1', 'BECN1', 'ATG2A', 'UBQLN2', 'NOD1', 'PIK3C3', 'NPC1', 'CLEC16A', 'CISD2', 'OGT', 'EPM2A', 'PIP4K2B', 'FOXO1', 'STING1', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'DAP', 'SNF8', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'RB1CC1', 'MTOR', 'ATG16L1']"
GO:0016043,"['ATG9A', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'ATG2A', 'SRC', 'MARK2', 'ABI2', 'VPS25', 'UBQLN2', 'PIK3C3', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0045184,"['SQSTM1', 'BECN1', 'ATG4B', 'SRC', 'VPS25', 'PIK3C3', 'NPC1', 'CHMP3', 'EPM2A', 'STAM', 'ATG3', 'FOXO1', 'PHB2', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'MCOLN1', 'SNF8', 'STX17', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'ATG16L1', 'PEX5']"
GO:0099503,"['TOLLIP', 'STING1', 'HMGB1', 'PSEN1', 'VCP', 'ARSB', 'S100A9', 'TRAPPC4']"
GO:0010562,"['ABL1', 'PHB2', 'SQSTM1', 'TP53', 'LYN', 'PSEN1', 'VCP', 'SRC', 'RB1CC1', 'MARK2', 'INHBA', 'MTOR', 'BCL2']"
GO:0042063,"['MAPK3', 'ABL1', 'TP53', 'LYN', 'PSEN1', 'BNIP3', 'MTOR', 'EPM2A', 'S100A9']"
GO:0006950,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'UBXN6', 'SRC', 'NOD1', 'PIK3C3', 'LGALS8', 'S100A9', 'CHMP3', 'CLEC16A', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'MAP1LC3C', 'ULK2', 'INHBA', 'BNIP3', 'BCL2', 'DAP', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'MTOR', 'UBA5', 'ATG16L1', 'PEX5']"
GO:1902532,"['FOXO1', 'PRKN', 'MAPK3', 'ABL1', 'PHB2', 'OPTN', 'LYN', 'SRC', 'MTOR', 'BCL2', 'NPC1']"
KEGG:05022,"['PRKN', 'MAPK3', 'AMBRA1', 'OPTN', 'SQSTM1', 'ATG2A', 'BECN1', 'PSEN1', 'VCP', 'RB1CC1', 'MAP1LC3C', 'ULK2', 'BCL2', 'MTOR', 'PIK3C3']"
GO:0042149,"['PIK3C3', 'TP53', 'BECN1', 'BCL2']"
GO:0055080,"['MAPK3', 'ABL1', 'LYN', 'PSEN1', 'MCOLN1', 'BNIP3', 'BCL2', 'S100A9']"
GO:0006996,"['ATG9A', 'AMBRA1', 'ABL1', 'SQSTM1', 'BECN1', 'ATG2A', 'ATG4B', 'SRC', 'MARK2', 'ABI2', 'VPS25', 'UBQLN2', 'PIK3C3', 'S100A9', 'TRAPPC4', 'CHMP3', 'CLEC16A', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0032495,['NOD1']
GO:0032940,"['FOXO1', 'PRKN', 'LYN', 'PSEN1', 'INHBA', 'STX17', 'SNF8', 'STAM']"
GO:0005776,"['ATG9A', 'STING1', 'AMBRA1', 'OPTN', 'SQSTM1', 'CHMP3', 'BECN1', 'ATG4B', 'RB1CC1', 'MAP1LC3C', 'ULK2', 'UBQLN2', 'PIP4K2B', 'PIK3C3', 'ATG16L1', 'STX17', 'CALCOCO2']"
HPA:0600221,"['TOLLIP', 'ABL1', 'SQSTM1', 'BECN1', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'S100A9', 'NPC1', 'CHMP3', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'BNIP3', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0048585,"['ABL1', 'SQSTM1', 'LYN', 'SRC', 'VPS25', 'UBQLN2', 'NPC1', 'OGT', 'PIP4K2B', 'FOXO1', 'PHB2', 'TP53', 'PSEN1', 'BCL2', 'PRKN', 'MAPK3', 'OPTN', 'VCP', 'RB1CC1', 'MTOR']"
GO:0044087,"['AMBRA1', 'ABL1', 'BECN1', 'ATG2A', 'SRC', 'ABI2', 'UBQLN2', 'CHMP3', 'OGT', 'PIP4K2B', 'STAM', 'ATG3', 'HMGB1', 'TP53', 'SNF8', 'PRKN', 'VCP', 'MTOR', 'PEX5']"
GO:0071840,"['ATG9A', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'ATG2A', 'SRC', 'MARK2', 'ABI2', 'VPS25', 'UBQLN2', 'PIK3C3', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0016032,"['PRKN', 'HMGB1', 'TP53', 'BECN1', 'VCP', 'BCL2', 'CALCOCO2', 'PIK3C3', 'ATG16L1', 'NPC1', 'CHMP3']"
GO:0032101,"['MAPK3', 'STING1', 'HMGB1', 'SQSTM1', 'PHB2', 'OPTN', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9']"
GO:0006140,"['TP53', 'VCP', 'PSEN1', 'OGT', 'MTOR']"
GO:0042221,"['TOLLIP', 'ABL1', 'LYN', 'BECN1', 'UBXN6', 'SRC', 'NOD1', 'S100A9', 'NPC1', 'OGT', 'PIP4K2B', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'CALCOCO2', 'MAPK3', 'PRKN', 'VCP', 'MTOR', 'ARSB', 'UBA5', 'PEX5']"
GO:0031400,"['PRKN', 'ABL1', 'SQSTM1', 'LYN', 'PSEN1', 'OGT', 'VPS25', 'EPM2A']"
GO:0045089,"['STING1', 'HMGB1', 'SQSTM1', 'PHB2', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9']"
GO:0071222,"['MAPK3', 'ABL1', 'HMGB1', 'LYN', 'SRC']"
GO:0002683,"['HMGB1', 'SQSTM1', 'LYN', 'SRC', 'INHBA']"
GO:0050794,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG2A', 'SRC', 'MARK2', 'ABI2', 'VPS25', 'UBQLN2', 'NOD1', 'PIK3C3', 'S100A9', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'DAP', 'SNF8', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0097193,"['PRKN', 'ABL1', 'TP53', 'BECN1', 'SRC', 'BNIP3', 'BCL2', 'S100A9']"
GO:0017076,"['MAPK3', 'STING1', 'UBA5', 'ABL1', 'LYN', 'VCP', 'SRC', 'MARK2', 'ULK2', 'MTOR', 'PIP4K2B', 'NOD1', 'PIK3C3']"
