Interactor A,Interactor B,Confidence Value
P61006,Q01968,0.9
P11142,P07900,0.9
Q96CV9,Q9HA65,0.9
P04637,P31947,0.9
Q13501,P60520,0.9
Q7LBR1,O95630,0.9
Q14694,Q13283,0.9
P55072,O00124,0.9
P04637,O75925,0.9
P00519,P00533,0.9
Q13315,O60934,0.9
P04637,Q96EB6,0.9
O95721,O15400,0.9
Q15831,Q9Y376,0.9
O00214,P26006,0.9
P04637,P45983,0.9
P04637,Q96PM5,0.9
P00519,P22681,0.9
Q92783,P0CG48,0.9
P04637,O60341,0.9
Q8TDY2,O75143,0.9
Q8WUM4,Q9BY43,0.9
P04637,P42858,0.9
P62820,Q01968,0.9
P00519,Q9NYB9,0.9
O15294,Q92560,0.9
P55072,Q9BZV1,0.9
P12931,P04049,0.9
P04637,P19525,0.9
P04637,Q99608,0.9
P04637,Q16611,0.9
P11142,Q00613,0.9
P04637,P53350,0.9
P07900,P29474,0.9
P55072,Q92575,0.9
P04637,P41235,0.9
P04637,Q8IWT3,0.9
P04637,Q8WTS6,0.9
Q96AJ9,O43752,0.9
Q5S007,P63104,0.9
P10415,P22736,0.9
P04637,Q14186,0.9
P07948,P29350,0.9
Q7KZI7,P63104,0.9
P49768,P05067,0.9
O95721,P56962,0.9
O00214,P05556,0.9
P04637,P63104,0.9
P04637,Q13535,0.9
P04637,Q86TM6,0.9
O95166,O95166,0.9
P04637,Q16666,0.9
Q00610,Q07912,0.9
P62820,P24386,0.9
Q13501,Q16543,0.9
Q86Y82,O43752,0.9
P04637,Q99986,0.9
P14416,P29274,0.9
Q96CV9,P42858,0.9
Q96CV9,Q96CV9,0.9
P12931,Q14686,0.9
P14416,P62166,0.9
O75385,O95166,0.9
P04637,P55199,0.9
P04637,Q66K89,0.9
O43353,Q9Y239,0.9
P42345,Q6R327,0.9
Q5S007,Q8N6T3,0.9
P07900,P68400,0.9
P07900,P10275,0.9
O95721,Q86Y82,0.9
Q13501,O95166,0.9
P51149,Q96NA2,0.9
P04637,P06748,0.9
P10415,P04049,0.9
Q13501,Q9H492,0.9
P04637,P10415,0.9
P07900,P00533,0.9
Q00610,O94973,0.9
P07900,Q00613,0.9
Q13315,Q10567,0.9
P53365,P63000,0.9
Q96CV9,Q9UHD2,0.9
P04637,P05549,0.9
P12931,P00519,0.9
P55072,Q9BZE9,0.9
P04637,Q16637,0.9
P04637,O14757,0.9
P04637,Q9BVP2,0.9
P04637,Q00535,0.9
P42345,P31749,0.9
Q5S007,P27348,0.9
P60520,O75385,0.9
O00750,P62993,0.9
P04637,P32780,0.9
P12931,Q9ULH1,0.9
Q13501,Q9Y4B4,0.9
P16615,P26678,0.9
P04637,P63279,0.9
Q14694,Q9UN86,0.9
Q13501,Q14145,0.9
P04637,P67809,0.9
P11142,Q99459,0.9
P11142,P00533,0.9
P12931,P18433,0.9
P12931,P08581,0.9
Q8WUM4,Q99816,0.9
P04637,Q93009,0.9
P04637,Q13625,0.9
P00519,P11274,0.9
P50570,Q9Y5X1,0.9
P53365,P53365,0.9
P10415,Q13625,0.9
P42345,Q9BVC4,0.9
Q8WUM4,Q53EZ4,0.9
P04637,P09874,0.9
P07900,Q719I0,0.9
P07948,P43405,0.9
P27361,P35236,0.9
P49768,Q9UMX0,0.9
Q15831,P51532,0.9
P55072,Q9UKV5,0.9
P12931,P03372,0.9
Q12778,P10275,0.9
P04637,P18847,0.9
P60520,Q9NT62,0.9
O14964,P35240,0.9
P50542,O00628,0.9
O00750,P00533,0.9
Q96CV9,Q15025,0.9
P04637,Q15648,0.9
P00519,P06400,0.9
O15294,P51610,0.9
P78356,P19438,0.9
Q8NEB9,Q6ZNE5,0.9
P42345,P62942,0.9
Q7LBR1,P53990,0.9
P12931,P10275,0.9
P12931,P04626,0.9
P04637,P51948,0.9
P04637,P49841,0.9
O75143,Q9BSB4,0.9
P07900,P0DMV9,0.9
Q5S007,P61020,0.9
Q5S007,P30048,0.9
P10415,Q16611,0.9
P10415,Q13794,0.9
P04637,P18146,0.9
P07900,P04626,0.9
P11142,P10636,0.9
Q96CF2,Q8WUM4,0.9
Q15831,Q16543,0.9
O14964,P0CG48,0.9
Q12778,Q92793,0.9
P04637,Q09472,0.9
Q5S007,O00429,0.9
P07900,P11802,0.9
Q13315,Q12888,0.9
P50542,O00623,0.9
P04637,Q14999,0.9
P00519,P62993,0.9
Q8NEZ2,Q99816,0.9
P10415,Q14318,0.9
O95295,Q96EV8,0.9
O95166,P18507,0.9
Q13315,P54132,0.9
Q5S007,P31947,0.9
P07900,Q15185,0.9
Q13137,O00214,0.9
P00519,O43196,0.9
P55072,Q8NHG7,0.9
P04637,P49459,0.9
P04637,O15151,0.9
P04637,Q9NZC7,0.9
Q5S007,Q5S007,0.9
P07900,Q9H6T3,0.9
Q13315,P54274,0.9
P11142,Q9UNE7,0.9
Q13315,P38398,0.9
P55072,P38398,0.9
Q14457,P10415,0.9
Q6UWE0,Q99816,0.9
Q13501,Q14596,0.9
P04637,P51532,0.9
P04637,Q92831,0.9
P04637,Q05397,0.9
Q15831,Q7RTN6,0.9
Q13049,Q9NYB9,0.9
Q14457,Q9C0C7,0.9
O14964,P42566,0.9
P60520,Q9Y4P1,0.9
P04637,P26447,0.9
P04637,Q05086,0.9
P04637,P54132,0.9
P04637,Q8WUF5,0.9
O94817,Q676U5,0.9
O43633,Q9H444,0.89
O15294,Q6N021,0.89
P04637,Q14974,0.89
P53365,P84077,0.89
P49754,Q9H270,0.89
O95295,P60880,0.89
P51149,P61019,0.89
P42345,P42345,0.89
P04637,P04271,0.89
O75385,Q96LT7,0.89
P55072,Q9H0K1,0.89
P55072,Q5T124,0.89
P11142,P31689,0.89
Q5S007,Q14155,0.89
P42338,O00459,0.89
P04637,O94776,0.89
P08476,Q13705,0.89
O60784,Q7Z3T8,0.89
Q13049,Q9H8T0,0.89
Q13137,Q9H6S1,0.89
O95140,Q8IWA4,0.89
P11142,Q9NZL4,0.89
P04637,P61981,0.89
P07900,P36897,0.89
Q02556,P61201,0.89
O75143,Q96LT7,0.89
P11142,O75165,0.89
Q8TDY2,Q676U5,0.89
O43353,Q13490,0.89
P12931,P09619,0.89
P04637,Q13155,0.89
Q66K74,Q9NS23,0.89
P11142,P49674,0.89
Q6VVB1,O95278,0.89
P04637,Q16665,0.89
P62820,P26374,0.89
P10909,P05067,0.89
Q5S007,Q13501,0.89
Q13137,Q9UM54,0.89
Q8TDY2,O75385,0.89
P50542,O60683,0.89
O75385,Q9BSB4,0.89
P61006,Q96QF0,0.89
P12931,P10636,0.89
Q00610,Q13492,0.89
O94874,Q96JB5,0.89
Q13501,Q9BXW4,0.89
P04637,P11388,0.89
Q7KZI7,Q92974,0.89
Q86WV6,Q16666,0.89
Q13501,Q9H0R8,0.89
P14416,P21333,0.89
P12931,Q9H5V8,0.89
P07900,Q9Y2Z0,0.89
P53365,P61204,0.89
Q13137,Q9UHD2,0.89
P04637,P22736,0.89
O95295,Q5SW79,0.89
P27361,Q9BUB5,0.89
O60784,Q00610,0.89
O75385,O75143,0.89
P04637,O75569,0.89
P07900,P12931,0.89
Q86VP1,Q9Y4K3,0.89
P12931,P27986,0.89
P04637,Q03701,0.89
P04637,Q9Y3D8,0.89
P00519,P37840,0.89
P61019,Q9H8Y8,0.89
Q86Y82,P63027,0.89
Q13501,Q969Q1,0.89
P04637,P19338,0.89
P04637,Q9NPI1,0.89
P08476,P27037,0.89
P04637,P19544,0.89
Q5S007,P10636,0.89
P10415,Q7Z465,0.89
O43353,Q12933,0.89
Q13049,P61088,0.89
Q15831,Q9C0K7,0.89
P04637,Q9UNH5,0.89
O43353,P98170,0.89
P04637,P68400,0.89
Q86Y82,O15498,0.89
P10415,O00198,0.89
Q13137,Q9BXW4,0.89
Q8NEB9,P61981,0.89
P49768,P21333,0.89
O43633,O95630,0.89
P04637,Q96KB5,0.89
Q12778,P03372,0.89
Q13315,Q9BXW9,0.89
P07900,Q15785,0.89
P51149,P31150,0.89
Q96CV9,Q9GZQ8,0.89
P04637,P35354,0.89
Q5S007,P07437,0.89
O94874,Q96HY6,0.89
P62820,Q8TBA6,0.89
Q14596,P60520,0.89
O95166,Q9NT62,0.89
P11142,O15273,0.89
Q7LBR1,Q9H444,0.89
P07948,Q05397,0.89
P12931,P41240,0.89
P11142,O95429,0.89
O14964,Q13596,0.89
P12931,P16284,0.89
Q8IVP5,Q9GZQ8,0.89
Q8NEB9,Q92622,0.89
P10909,Q07817,0.89
Q13315,Q14676,0.89
P10415,P51572,0.89
P10415,P67775,0.89
O95295,Q9NV70,0.89
Q13315,Q14683,0.89
P04637,P38936,0.89
P12931,P12830,0.89
P07900,Q08752,0.89
P49768,Q99569,0.89
Q86VP1,Q9UM54,0.89
Q96CV9,P62491,0.89
P05198,O75807,0.89
P04637,P16220,0.89
Q8TDY2,Q9BSB4,0.89
P07948,P20273,0.89
Q02556,P10914,0.89
Q12778,P61981,0.89
P04637,Q13330,0.89
P04637,Q99728,0.89
P62820,P61006,0.89
Q96CF2,Q9H444,0.89
P12931,P98082,0.89
P11142,P19438,0.89
P04637,P28482,0.89
P53365,P62330,0.89
Q6ZNE5,Q99570,0.89
O95721,Q13277,0.89
P04637,Q13547,0.89
P08476,P19883,0.89
P00519,P38398,0.89
Q86Y82,Q12846,0.89
P12931,P07550,0.89
P55072,Q96LJ8,0.89
P12931,P06241,0.89
P04637,Q86Z02,0.89
Q15831,P04637,0.89
Q5S007,P62841,0.89
P04637,Q01094,0.89
P62820,O60763,0.89
P11142,Q13620,0.89
P12931,Q03135,0.89
P50542,Q13011,0.89
P04637,P61289,0.89
P42345,Q9BPZ7,0.89
O95166,Q15154,0.89
P12931,Q9ULV8,0.89
Q12983,Q12983,0.89
P04637,Q96G74,0.89
Q14596,P49840,0.89
Q92783,O60220,0.89
P07900,P61247,0.89
Q96CV9,Q13501,0.89
Q13501,Q9Y4K3,0.89
P55072,Q13616,0.89
P09429,P61978,0.89
Q66K74,Q13188,0.89
P61019,Q08379,0.89
Q13131,P13569,0.89
P12931,P35968,0.89
Q00610,P49407,0.89
P04637,O95997,0.89
P04637,P49757,0.89
Q8NEM7,Q16539,0.89
P49795,P08754,0.89
P04637,Q9BWC9,0.89
Q12983,O60238,0.89
P04637,Q15843,0.89
Q86Y82,O00161,0.89
Q5S007,O14976,0.89
P07900,P04049,0.89
P11142,P34932,0.89
Q13501,Q13546,0.89
P04637,P13693,0.89
Q66K74,Q13043,0.89
Q7KZI7,P27348,0.89
Q12983,P17152,0.89
Q00610,Q14677,0.89
Q676U5,Q676U5,0.89
Q86Y82,O95249,0.89
P04637,Q13227,0.89
P62820,P62491,0.89
O95721,Q12846,0.89
P07948,P16885,0.89
Q676U5,Q9Y4P8,0.89
P11142,P08238,0.89
Q14457,O95229,0.89
P04637,P03372,0.89
P12931,P16070,0.89
P62820,Q08379,0.89
P00519,P15498,0.89
P50570,Q9UQ16,0.89
P04637,Q12824,0.89
Q00610,P09497,0.89
P04637,P63165,0.89
P00519,P61981,0.89
Q2TAZ0,Q9Y484,0.89
P78356,P78356,0.89
P04637,P01106,0.89
P07900,Q02790,0.89
Q5S007,Q9UL15,0.89
Q5S007,O14966,0.89
P11142,O60884,0.89
O95166,P27797,0.89
P07948,Q07666,0.89
P00519,P04629,0.89
P42704,P36776,0.89
P04637,Q96S44,0.89
P00519,P42684,0.89
P14416,P14416,0.89
P04637,P50613,0.89
P07900,Q99558,0.89
Q8TDY2,Q8TDY2,0.89
Q13315,Q13315,0.89
P50542,Q92968,0.89
Q5S007,Q13637,0.89
P04637,P19447,0.89
P04637,Q15672,0.89
P04637,O14965,0.89
P27361,Q99956,0.89
Q13131,P49815,0.89
O15294,Q96ST3,0.89
P12931,Q05193,0.89
P07900,P03372,0.89
O75886,P23458,0.89
O14964,P00533,0.89
P05198,Q9NVM4,0.88
P11142,Q9UL15,0.88
P04637,Q9UM07,0.88
P51149,P51148,0.88
P04637,O95376,0.88
Q00610,Q14164,0.88
Q8WUH2,Q13485,0.88
P10909,P37840,0.88
Q96CF2,Q96CF2,0.88
Q13488,Q9Y5K8,0.88
P04637,Q8N488,0.88
P09601,P09601,0.88
P07900,Q9UHD2,0.88
P06702,P13569,0.88
Q13315,O75943,0.88
P60520,Q8WZA9,0.88
P60520,P46934,0.88
P07900,Q13546,0.88
Q676U5,Q9Y6K9,0.88
P10909,P12956,0.88
P00519,Q9BX66,0.88
Q8NEB9,Q96F24,0.88
P07900,P49327,0.88
Q7Z3C6,Q96CW1,0.88
P12931,Q92845,0.88
P04637,P11387,0.88
P04637,Q13362,0.88
P04637,O15169,0.88
Q7KZI7,P10636,0.88
P49768,Q9NQB0,0.88
Q13501,P54725,0.88
P00519,P19174,0.88
P53365,P84085,0.88
P61006,Q8TAG9,0.88
P04637,Q96SB4,0.88
P04637,P48730,0.88
P10415,Q12982,0.88
P55072,Q96IV0,0.88
O43633,Q8WV92,0.88
P12931,Q92731,0.88
P04637,O95967,0.88
O14964,P14784,0.88
O43353,O43353,0.88
P11142,P62993,0.88
P04637,P45984,0.88
P04637,P42771,0.88
P07900,P19784,0.88
Q5S007,Q9UNE7,0.88
P07900,P37173,0.88
P04637,Q96PU4,0.88
P50570,P49418,0.88
P07948,P09769,0.88
Q5S007,P31946,0.88
P09429,P09874,0.88
Q7KZI7,Q7KZI7,0.88
O95721,P51809,0.88
P04637,P78527,0.88
O43353,Q13489,0.88
P04637,P15036,0.88
Q14457,Q07820,0.88
O14925,Q3ZCQ8,0.88
P07948,P05556,0.88
P55072,Q9Y4K3,0.88
P04637,Q9UQR1,0.88
P11142,Q9H4A3,0.88
Q14457,Q92574,0.88
P04637,Q02880,0.88
P04637,P31350,0.88
Q7KZI7,Q9Y4B5,0.88
P07900,P50750,0.88
P27361,Q12913,0.88
P12931,P20936,0.88
P42704,P62330,0.88
Q92622,Q9P2Y5,0.88
O95352,Q96EB6,0.88
P04637,P43356,0.88
P10415,O60238,0.88
Q14457,P31749,0.88
P04637,Q9H4B4,0.88
O15294,Q9UBL3,0.88
P50570,Q15811,0.88
P42345,Q13541,0.88
P55072,O96017,0.88
P61019,P50395,0.88
P55072,P63104,0.88
Q13488,P36543,0.88
P04637,O60729,0.88
P07900,P06239,0.88
Q86WV6,Q7Z434,0.88
P11142,Q3B7T1,0.88
O95166,Q8IZQ1,0.88
Q13501,P04629,0.88
P60520,Q8TD19,0.88
Q66K74,Q9Y297,0.88
Q13501,P51617,0.88
Q86Y82,P46459,0.88
P61006,P61026,0.88
P00519,Q7Z434,0.88
P04637,Q9Y3T9,0.88
P42345,Q07817,0.88
Q13315,Q9Y4R8,0.88
P12931,Q12929,0.88
P04637,P13639,0.88
P00519,Q13322,0.88
P00519,P63104,0.88
Q5S007,P46734,0.88
P04637,Q06587,0.88
P20073,Q9H553,0.88
Q8NEB9,Q9P2Y5,0.88
P07948,Q99704,0.88
Q86VP1,Q9Y3C5,0.88
P12931,P07949,0.88
O00750,P63104,0.88
P04637,Q05655,0.88
P17861,P17861,0.88
Q13315,P50542,0.88
P07900,Q9H7B4,0.88
Q00610,O75061,0.88
P55072,P62633,0.88
Q13049,P31946,0.88
Q13501,P58004,0.88
Q14457,Q96F24,0.88
P04637,Q969V5,0.88
Q15831,Q8NFZ5,0.88
P51149,P50395,0.88
P07900,Q03113,0.88
P55072,Q8TEB9,0.88
P04637,Q9UBL3,0.88
P11142,P27708,0.88
P11142,P01308,0.88
Q86XT2,Q99816,0.88
P07900,P26368,0.88
Q6ZNE5,Q96F24,0.88
Q13315,P49959,0.88
Q3MII6,P60520,0.88
P07900,O94826,0.88
P49768,P49841,0.88
P62820,P51148,0.88
P50570,Q9NZM3,0.88
P60520,Q9GZZ9,0.88
O75351,Q8WUM4,0.88
P04637,Q9BUJ2,0.88
Q7KZI7,P61981,0.88
P07900,Q58FG0,0.88
O95140,Q9NX47,0.88
Q13501,O95817,0.88
P11142,Q8TDR0,0.88
Q5S007,P62258,0.88
P51149,P61020,0.88
P11142,O95757,0.88
O14964,P60880,0.88
P55072,Q9H8Y5,0.88
Q7LBR1,Q9UN37,0.88
P61006,Q9ULV0,0.88
O14964,P46934,0.88
O95166,Q86V97,0.88
P04637,P46736,0.88
P04637,P51784,0.88
P07900,Q71U36,0.88
P04637,Q9P0U4,0.88
P49754,Q9H267,0.88
Q3MII6,O95166,0.88
Q13501,P42858,0.88
P04637,P18074,0.88
P16144,Q9UMD9,0.88
Q14596,P49841,0.88
P04637,O14503,0.88
P10415,P00441,0.88
P07900,O15111,0.88
O75385,Q9C0C7,0.88
O43353,Q13114,0.88
P04637,O15047,0.88
O60784,Q9UM54,0.88
Q96AJ9,Q9UNK0,0.88
P11142,Q99615,0.88
O43353,Q9Y6K9,0.88
P12931,P10276,0.88
O75385,Q13131,0.88
P28328,P40855,0.88
P04637,Q8N9N5,0.88
P07900,Q9Y6K9,0.88
P04637,Q96FW1,0.88
P27361,P51452,0.88
O95721,P54920,0.88
P11142,P25685,0.88
Q3MII6,Q9H0R8,0.88
P55072,Q96EP0,0.88
P49768,P12830,0.88
Q5S007,P26038,0.88
P16144,P56537,0.88
Q14457,Q8N5C8,0.88
Q12983,P10415,0.88
Q13137,Q7Z434,0.88
P11142,Q9Y265,0.88
Q13501,O75385,0.88
P50570,Q96B97,0.88
O00214,Q86VP1,0.88
P09429,P08729,0.88
P04637,P04792,0.88
P04637,O96017,0.88
P04637,P11142,0.88
P07900,Q58FF7,0.88
P16615,Q13418,0.88
P12931,P27635,0.88
P62820,O15400,0.88
P42345,Q96B36,0.88
P11142,O14976,0.88
P11142,P24385,0.88
P42704,P05067,0.88
Q5S007,P46821,0.88
P07900,O14920,0.88
O14964,O43707,0.88
P08476,P36896,0.88
P50570,Q05193,0.88
Q14457,Q9NYJ8,0.88
P42345,Q8TB45,0.88
Q96CV9,P0CG47,0.88
O75886,Q9H3S7,0.87
Q13315,P16104,0.87
P04637,P23511,0.87
O95721,Q9UID3,0.87
Q969S8,Q9Y618,0.87
P42345,Q96EB6,0.87
Q96CV9,Q8TC07,0.87
P04637,Q15796,0.87
P07948,P48023,0.87
P62820,Q9H0U4,0.87
P42704,P34897,0.87
P12931,Q9H204,0.87
P11142,Q9BWH6,0.87
Q63HN8,P18031,0.87
P04637,Q96S59,0.87
Q7Z3C6,O00182,0.87
Q86WV6,Q9UHD2,0.87
Q13501,P84022,0.87
P04637,P04150,0.87
Q14694,Q8N8A2,0.87
P04637,P60484,0.87
Q16666,P38398,0.87
P04637,Q92754,0.87
Q5S007,P15880,0.87
P60520,Q14257,0.87
Q92995,P60484,0.87
Q96CV9,Q9H0R8,0.87
P12931,Q09472,0.87
P10415,Q99933,0.87
P42704,P01106,0.87
Q15751,Q8TE77,0.87
O95721,Q02833,0.87
P04637,Q96J02,0.87
Q00610,Q9H4M9,0.87
Q96AJ9,P54920,0.87
Q8WUH2,Q9H269,0.87
Q5S007,P19338,0.87
Q13315,O43313,0.87
Q13137,Q13137,0.87
P07900,Q15418,0.87
O75886,P00533,0.87
Q12778,Q96EB6,0.87
P04637,Q7Z6Z7,0.87
P04637,P06703,0.87
Q5S007,O00159,0.87
Q5S007,P62249,0.87
P10415,Q9NQC3,0.87
Q13501,Q9H0E2,0.87
P07900,P23258,0.87
P11142,P15056,0.87
P07900,Q9H1R3,0.87
