A4D1S5
A6NCE7
A6NDU8
P59074
O94967
Q5VWJ9
P10636-2
A0A5F9ZHA1
Q8N726-1
Q8N660
P18206-2
Q16222-2
Q8NE35-2
P48740-3
P13051-1
Q9BZZ5-2
Q04637-8
P02686-5
P10636-8
P00519-2
P20020-1
Q9H6Z4-3
Q9UMZ1
O15294-3
Q8WXS3-1
Q76LA1
O75112-6
O00429-3
Q9Y237-2
Q01105-2
Q9NS23-4
A0A0C4DGY3
Q92784-2
P52306-2
P56211-2
Q00987-11
P60484-2
Q92784-1
Q92900-2
P61328-2
O00204-2
Q9NQI0-2
P31431-2
Q9NQC3-1
Q9H875
O43561-2
P29353-2
Q9Y237-1
O43236-6
A0A090N8E9
Q92913-2
P33316-2
P35790-2
A0A1B0GTR3
Q02297-10
Q9HB71-2
O60706-2
Q96PU8-9
S6B291
Q9P2K3-3
P17706-2
O43806
P61244-2
P46108-2
